FolderPath, Filename,TotalNumberEngravings, Engraving, LineNumber, Text, OverwritingText
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,135.GEO,1,1,136,135,000AA43
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,13676T.GEO,1,1,191,13676V B,000AA44
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,147-AR2.GEO,2,1,207,147-AR2,000AA45
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,147-AR2.GEO,2,2,218,CP7587,000AA46
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,157-R1.GEO,2,1,221,9444-1,000AA47
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,157-R1.GEO,2,2,232,157-R1 B,000AA48
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,158-R1.GEO,2,1,252,158-RA,000AA49
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,158-R1.GEO,2,2,263,9444-1,000AA50
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,174-R3-B.GEO,1,1,124,174-R3,000AA51
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,190-BR1.GEO,1,1,200,190-BR1,000AA52
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,192-AR2-B.GEO,1,1,100,192AR-2,000AA53
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,193-AR1.GEO,2,1,126,9421-1,000AA54
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,193-AR1.GEO,2,2,137,193-AR1,000AA55
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,194-AR1.GEO,1,1,111,194-AR1,000AA56
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,22W-1.GEO,1,1,119,91908V,000AA57
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,22W-2.GEO,1,1,115,22W-2,000AA58
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,261-R3.GEO,1,1,247,261-R3,000AA59
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,3805.GEO,1,1,151,2128325,000AA60
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,3862-1.GEO,2,1,495,47880V,000AA61
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,3862-1.GEO,2,2,506,B,000AA62
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,459.GEO,1,1,99,459,000AA63
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,460-B.GEO,1,1,155,460-B,000AA64
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,B.GEO,1,1,153,13033V,000AA65
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,C.GEO,1,1,145,12905V,000AA66
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,X.GEO,2,1,174,D/B,000AA67
